From	To	Species	Gene Name
Q9NUD5	85364	Homo sapiens	zinc finger CCHC-type containing 3(ZCCHC3)
Q6K638	4329959	Oryza sativa Japonica Group	shikimate O-hydroxycinnamoyltransferase(LOC4329959)
Q9NUD7	140680	Homo sapiens	chromosome 20 open reading frame 96(C20orf96)
Q9NUD9	55650	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class V(PIGV)
P75079	876857	Mycoplasma pneumoniae M129	hypothetical protein(MPN035)
Q28CZ7	548994	Xenopus tropicalis	isoprenoid synthase domain containing(ispd)
E1BRE2	420834	Gallus gallus	sirtuin 5(SIRT5)
P75077	877333	Mycoplasma pneumoniae M129	hypothetical protein(MPN037)
Q9SKR2	816633	Arabidopsis thaliana	synaptotagmin A(SYTA)
P92537	4024968	Arabidopsis thaliana	hypothetical protein(ArthMp090)
Q9SKT3	816617	Arabidopsis thaliana	Secretory carrier membrane protein (SCAMP) family protein(SCAMP3)
P92539	4024970	Arabidopsis thaliana	hypothetical protein(ArthMp092)
O34526	939643	Bacillus subtilis subsp. subtilis str. 168	alanine--tRNA ligase(alaS)
F4K1G2	833582	Arabidopsis thaliana	AMP-dependent synthetase and ligase family protein(AT5G35930)
O34524	939452	Bacillus subtilis subsp. subtilis str. 168	sodium-dependent transporter YocS(yocS)
Q7XSV4	4337480	Oryza sativa Japonica Group	tubby-like F-box protein 7(LOC4337480)
Q8LQ68	4326547	Oryza sativa Japonica Group	hexokinase-6(LOC4326547)
Q91VD9	227197	Mus musculus	NADH dehydrogenase (ubiquinone) Fe-S protein 1(Ndufs1)
A8EWM2	24304268	Arcobacter butzleri RM4018	nicotinate-nucleotide adenylyltransferase(ABU_RS10625)
P75069	877181	Mycoplasma pneumoniae M129	histidine--tRNA ligase(hisS)
A8EWM0	24304490	Arcobacter butzleri RM4018	arginine--tRNA ligase(ABU_RS10615)
O80337	827464	Arabidopsis thaliana	ethylene responsive element binding factor 1(ERF-1)
Q61493	19714	Mus musculus	REV3 like, DNA directed polymerase zeta catalytic subunit(Rev3l)
Q969U6	54461	Homo sapiens	F-box and WD repeat domain containing 5(FBXW5)
A4YIX5	5104300	Metallosphaera sedula DSM 5348	hypothetical protein(MSED_RS11455)
Q61496	13206	Mus musculus	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4(Ddx4)
Q5B2Q6	2871463	Aspergillus nidulans FGSC A4	hypothetical protein(AN5174.2)
Q5AR23	2867854	Aspergillus nidulans FGSC A4	hypothetical protein(AN9257.2)
Q5B2Q1	2871473	Aspergillus nidulans FGSC A4	hypothetical protein(AN5179.2)
P06786	855636	Saccharomyces cerevisiae S288c	DNA topoisomerase 2(TOP2)
Q10064	2541659	Schizosaccharomyces pombe 972h-	phosphatidylinositol kinase-related protein Tra2(tra2)
Q5R6P2	100173493	Pongo abelii	mohawk homeobox(MKX)
Q10065	3361385	Schizosaccharomyces pombe 972h-	potassium ion transporter Trk2(trk2)
P06783	853677	Saccharomyces cerevisiae S288c	Ste3p(STE3)
Q10058	2541471	Schizosaccharomyces pombe 972h-	FAD-dependent oxidoreductase (predicted)(SPAC1F5.03c)
Q2FLB5	3922134	Methanospirillum hungatei JF-1	enolase(MHUN_RS05770)
Q10057	2541460	Schizosaccharomyces pombe 972h-	protein disulfide isomerase (predicted)(SPAC1F5.02)
A1CEK6	4705069	Aspergillus clavatus NRRL 1	SH3 domain protein(ACLA_089980)
P06777	856085	Saccharomyces cerevisiae S288c	ssDNA endodeoxyribonuclease RAD1(RAD1)
Q9M350	824543	Arabidopsis thaliana	GAMMA-TUBULIN COMPLEX PROTEIN 4(GCP4)
Q9NXC5	54468	Homo sapiens	meiosis regulator for oocyte development(MIOS)
Q9M2T1	824714	Arabidopsis thaliana	protein affected trafficking 2(PAT2)
Q9SN09	824171	Arabidopsis thaliana	Exonuclease family protein(AT3G50090)
O44440	177105	Caenorhabditis elegans	Protein yippee-like B0546.4(B0546.4)
Q969V4	83659	Homo sapiens	tektin 1(TEKT1)
Q9DG67	395449	Gallus gallus	RAD54 homolog B (S. cerevisiae)(RAD54B)
Q969V5	79594	Homo sapiens	mitochondrial E3 ubiquitin protein ligase 1(MUL1)
P53434	986883	Listeria monocytogenes EGD-e	hypothetical protein(lmo1452)
Q91VN4	66098	Mus musculus	coiled-coil-helix-coiled-coil-helix domain containing 6(Chchd6)
P06795	18669	Mus musculus	ATP-binding cassette, sub-family B (MDR/TAP), member 1B(Abcb1b)
Q91VN6	72935	Mus musculus	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41(Ddx41)
Q63722	29146	Rattus norvegicus	jagged 1(Jag1)
Q5R723	100173420	Pongo abelii	peptidylprolyl isomerase E(PPIE)
Q8W4N3	839397	Arabidopsis thaliana	ubiquitin-specific protease 2(UBP2)
P06787	852406	Saccharomyces cerevisiae S288c	calmodulin(CMD1)
Q6NVR9	407895	Xenopus tropicalis	ATPase family, AAA domain containing 3A(atad3a)
Q10044	188207	Caenorhabditis elegans	hypothetical protein(T07A5.1)
P14314	5589	Homo sapiens	protein kinase C substrate 80K-H(PRKCSH)
Q10049	188321	Caenorhabditis elegans	hypothetical protein(T09B9.3)
C5DMU9	8293826	Lachancea thermotolerans CBS 6340	KLTH0G11792p(KLTH0G11792g)
Q6NVR8	407942	Xenopus tropicalis	LSM14A mRNA processing body assembly factor(lsm14a)
E1BNE9	526088	Bos taurus	potassium voltage-gated channel subfamily J member 3(KCNJ3)
Q9SMN0	824030	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(CXE12)
Q91VN0	16973	Mus musculus	low density lipoprotein receptor-related protein 5(Lrp5)
P14319	13875573	Staphylococcus aureus	multidrug efflux protein(SAP069A_049)
Q9M2S4	824720	Arabidopsis thaliana	Concanavalin A-like lectin protein kinase family protein(AT3G55550)
Q9M342	824551	Arabidopsis thaliana	Protein kinase superfamily protein(AT3G53840)
Q9NXB0	54903	Homo sapiens	Meckel syndrome, type 1(MKS1)
P53405	30147	Danio rerio	ISL LIM homeobox 1(isl1)
Q9FKD5	833770	Arabidopsis thaliana	Protein with RING/U-box and TRAF-like domain(AT5G37910)
Q9FKD0	833776	Arabidopsis thaliana	S-adenosyl-L-methionine-dependent methyltransferase superfamily protein(AT5G37970)
Q0H8D7	821254	Arabidopsis thaliana	nijmegen breakage syndrome 1(NBS1)
Q10084	2542991	Schizosaccharomyces pombe 972h-	MFS family membrane transporter (predicted)(mfs2)
O44437	36306	Drosophila melanogaster	Small ribonucleoprotein particle protein SmD3(SmD3)
Q92806	3765	Homo sapiens	potassium voltage-gated channel subfamily J member 9(KCNJ9)
Q3UU41	327957	Mus musculus	SLP adaptor and CSK interacting membrane protein(Scimp)
Q5R6R8	100172243	Pongo abelii	paraneoplastic Ma antigen family like 1(PNMAL1)
Q92805	2800	Homo sapiens	golgin A1(GOLGA1)
Q5AR45	2867996	Aspergillus nidulans FGSC A4	hypothetical protein(AN9235.2)
Q8U9W3	1135486	Agrobacterium fabrum str. C58	histidinol-phosphate aminotransferase(hisC)
Q5AR44	2868051	Aspergillus nidulans FGSC A4	hypothetical protein(AN9236.2)
Q969W1	84287	Homo sapiens	zinc finger DHHC-type containing 16(ZDHHC16)
Q5R737	100173412	Pongo abelii	L3MBTL2 polycomb repressive complex 1 subunit(L3MBTL2)
Q5R6R7	100173213	Pongo abelii	septin 4(SEPT4)
Q92802	10443	Homo sapiens	NEDD4 binding protein 2 like 2(N4BP2L2)
Q9SMQ4	830162	Arabidopsis thaliana	SNF1-related protein kinase 2.7(SNRK2.7)
Q92800	2145	Homo sapiens	enhancer of zeste 1 polycomb repressive complex 2 subunit(EZH1)
Q9SN23	824156	Arabidopsis thaliana	LOB domain-containing protein 38(LBD38)
O82617	826615	Arabidopsis thaliana	B-box zinc finger family protein(bbx23)
A2RVS4	829258	Arabidopsis thaliana	AIG2-like (avirulence induced gene) family protein(AT4G31310)
G5E8P0	328580	Mus musculus	tubulin, gamma complex associated protein 6(Tubgcp6)
Q9M2V7	824675	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG16)
Q9LR78	838804	Arabidopsis thaliana	Serine/threonine protein phosphatase family protein(BSU1)
Q9NXE8	54883	Homo sapiens	CWC25 spliceosome associated protein homolog(CWC25)
Q9LQV2	838044	Arabidopsis thaliana	RNA-dependent RNA polymerase 1(RDR1)
Q7ZU13	799873	Danio rerio	spinster homolog 1 (Drosophila)(spns1)
Q969X6	84916	Homo sapiens	UTP4, small subunit processome component(UTP4)
Q6TCG8	231474	Mus musculus	progestin and adipoQ receptor family member III(Paqr3)
O29903	1483558	Archaeoglobus fulgidus DSM 4304	desulfoferrodoxin(AF_RS01760)
Q91VP7	76547	Mus musculus	transmembrane protein 101(Tmem101)
Q92817	2125	Homo sapiens	envoplakin(EVPL)
Q10075	2543367	Schizosaccharomyces pombe 972h-	phytochelatin synthetase(SPAC3H1.10)
P53410	396382	Gallus gallus	ISL LIM homeobox 2(ISL2)
Q10070	2543420	Schizosaccharomyces pombe 972h-	mitochondrial inner membrane protein Mdm31 (predicted)(mdm31)
P53412	373940	Gallus gallus	LIM homeobox 3(LHX3)
Q8PVP6	1480258	Methanosarcina mazei Go1	lysyl-tRNA synthetase(MM_RS09940)
P53411	396381	Gallus gallus	LIM homeobox 1(LHX1)
Q8W519	541786	Zea mays	uncharacterized LOC541786(cl1511_1)
Q91W10	67547	Mus musculus	solute carrier family 39 (metal ion transporter), member 8(Slc39a8)
Q6NVP7	407911	Xenopus tropicalis	poly(A) binding protein, nuclear 1(pabpn1)
Q10067	2543248	Schizosaccharomyces pombe 972h-	origin recognition complex subunit Orp3 (predicted)(orc3)
Q9SN11	824169	Arabidopsis thaliana	CYCLIN D3;3(CYCD3;3)
Q6CTD5	2892283	Kluyveromyces lactis NRRL Y-1140	hypothetical protein(KLLA0C13541g)
Q6NVP8	407913	Xenopus tropicalis	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)(fut8)
Q8I5Z5	811103	Plasmodium falciparum 3D7	conserved Plasmodium protein(PFL0250w)
Q75CH3	4619475	Eremothecium gossypii ATCC 10895	ACL054Wp(AGOS_ACL054W)
Q9M364	825347	Arabidopsis thaliana	SET domain protein 14(SDG14)
Q9LQU4	838052	Arabidopsis thaliana	PLANT CADMIUM RESISTANCE 2(PCR2)
Q9M2U2	824702	Arabidopsis thaliana	3-oxo-5-alpha-steroid 4-dehydrogenase family protein(CER10)
Q9LQU2	838053	Arabidopsis thaliana	PLANT CADMIUM RESISTANCE 1(PCR1)
Q339N5	4348359	Oryza sativa Japonica Group	cellulose synthase-like protein H1(LOC4348359)
Q5B367	2872816	Aspergillus nidulans FGSC A4	hypothetical protein(AN5013.2)
Q3UTY6	207596	Mus musculus	thrombospondin, type I, domain containing 4(Thsd4)
Q5R757	100173400	Pongo abelii	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)
Q5R754	100173402	Pongo abelii	cyclin dependent kinase like 2(CDKL2)
A5WWB0	100148916	Danio rerio	ubiquitin specific peptidase 46(usp46)
Q969Q5	53917	Homo sapiens	RAB24, member RAS oncogene family(RAB24)
Q9SMK9	101509831	Cicer arietinum	phenylalanine ammonia-lyase 2-like(LOC101509831)
Q91VI7	107702	Mus musculus	ribonuclease/angiogenin inhibitor 1(Rnh1)
Q63751	690507	Rattus norvegicus	similar to Vomeromodulin(LOC690507)
Q969Q1	84676	Homo sapiens	tripartite motif containing 63(TRIM63)
Q1E1E0	4563641	Coccidioides immitis RS	golgi apparatus membrane protein TVP18(CIMG_03623)
Q10019	174064	Caenorhabditis elegans	hypothetical protein(T25D10.4)
Q0SBZ1	4220693	Rhodococcus jostii RHA1	Fe(3+) ions import ATP-binding protein FbpC 1(RHA1_RS15290)
Q8NM44	1020681	Corynebacterium glutamicum ATCC 13032	carboxylate-amine ligase(NCgl2640)
Q9M310	825332	Arabidopsis thaliana	Galactose oxidase/kelch repeat superfamily protein(HWS)
Q969Q6	55012	Homo sapiens	protein phosphatase 2 regulatory subunit B''gamma(PPP2R3C)
Q6VE48	280851	Bos taurus	CD46 molecule(CD46)
Q8W4I7	824348	Arabidopsis thaliana	calcium-dependent protein kinase 13(CPK13)
Q5AR54	2868069	Aspergillus nidulans FGSC A4	hypothetical protein(AN9226.2)
Q63769	64316	Rattus norvegicus	sushi-repeat-containing protein, X-linked(Srpx)
P51979	852641	Saccharomyces cerevisiae S288c	Hfm1p(HFM1)
Q5AR50	2868012	Aspergillus nidulans FGSC A4	hypothetical protein(AN9230.2)
Q5AR52	2868027	Aspergillus nidulans FGSC A4	hypothetical protein(AN9228.2)
Q9M304	824039	Arabidopsis thaliana	serine palmitoyltransferase 1(SPT1)
Q5R761	100173398	Pongo abelii	ubiquitin specific peptidase 39(USP39)
Q8PVJ7	1480308	Methanosarcina mazei Go1	malate dehydrogenase(MM_RS10190)
A5WWA0	556813	Danio rerio	zinc and ring finger 3(znrf3)
Q969R5	83746	Homo sapiens	L3MBTL2 polycomb repressive complex 1 subunit(L3MBTL2)
Q570Y9	97998	Mus musculus	DEP domain containing MTOR-interacting protein(Deptor)
Q9DG25	395434	Gallus gallus	popeye domain containing 3(POPDC3)
Q9M306	824037	Arabidopsis thaliana	DHHC-type zinc finger family protein(AT3G48760)
Q969R2	23762	Homo sapiens	oxysterol binding protein 2(OSBP2)
Q969R8	55846	Homo sapiens	integrin alpha FG-GAP repeat containing 2(ITFG2)
A8TX70	256076	Homo sapiens	collagen type VI alpha 5 chain(COL6A5)
Q10003	174296	Caenorhabditis elegans	Putative glycerophosphocholine phosphodiesterase GPCPD1 homolog 2(gpcp-2)
Q75CN1	4619412	Eremothecium gossypii ATCC 10895	ACL112Cp(AGOS_ACL112C)
Q10007	188539	Caenorhabditis elegans	Helix-loop-helix protein 6(hlh-6)
Q6NW40	285704	Homo sapiens	repulsive guidance molecule family member b(RGMB)
Q81J58	1202464	Bacillus cereus ATCC 14579	hypothetical protein(BC0111)
Q10042	186832	Caenorhabditis elegans	Probable G-protein coupled receptor K01A12.3(K01A12.3)
Q8W4K1	825800	Arabidopsis thaliana	Met-10+ like family protein / kelch repeat-containing protein(AT4G04670)
Q10040	182987	Caenorhabditis elegans	Putative zinc protease C28F5.4(C28F5.4)
P51942	17180	Mus musculus	matrilin 1, cartilage matrix protein(Matn1)
P51946	902	Homo sapiens	cyclin H(CCNH)
Q5R770	100171708	Pongo abelii	Fc receptor, IgA, IgM, high affinity(FCAMR)
Q339K6	4348374	Oryza sativa Japonica Group	laccase-15(LOC4348374)
Q63772	58935	Rattus norvegicus	growth arrest specific 6(Gas6)
Q16P90	5575265	Aedes aegypti	AAEL011729-PA(MOCO3_AEDAE)
Q6K5K2	4329874	Oryza sativa Japonica Group	B3 domain-containing protein Os02g0598200(LOC4329874)
Q969S8	83933	Homo sapiens	histone deacetylase 10(HDAC10)
Q7XRV0	4335680	Oryza sativa Japonica Group	recQ-mediated genome instability protein 1(LOC4335680)
Q9LR30	838940	Arabidopsis thaliana	glutamate:glyoxylate aminotransferase(GGT1)
Q75CM4	4619419	Eremothecium gossypii ATCC 10895	ACL105Cp(AGOS_ACL105C)
Q10039	175703	Caenorhabditis elegans	Glycine--tRNA ligase(gars-1)
P51948	4331	Homo sapiens	MNAT1, CDK activating kinase assembly factor(MNAT1)
Q10038	173904	Caenorhabditis elegans	Tyrosine-protein phosphatase vhp-1(vhp-1)
Q1PS67	100049443	Oryzias latipes	telomerase reverse transcriptase(tert)
Q59205	1055402	Bradyrhizobium diazoefficiens USDA 110	cytochrome P-450 BJ-4(CYP117)
Q65K14	3030841	Bacillus licheniformis DSM 13 = ATCC 14580	heme A synthase(TRNA_RS29950)
Q63788	29741	Rattus norvegicus	phosphoinositide-3-kinase regulatory subunit 2(Pik3r2)
Q5R788	100173379	Pongo abelii	iron-sulfur cluster assembly 2(ISCA2)
Q10032	173886	Caenorhabditis elegans	hypothetical protein(C27D6.3)
Q47692	3853553	Escherichia coli	temperature-sensitive hemagglutinin; autotransporter; similar to GenBank Accession Number CAA11507(tsh)
Q3UU94	545893	Mus musculus	MANSC domain containing 4(Mansc4)
P51957	6787	Homo sapiens	NIMA related kinase 4(NEK4)
B9A014	101928147	Homo sapiens	chromosome 21 open reading frame 140(C21orf140)
Q8W4L5	817597	Arabidopsis thaliana	B3 domain-containing transcription repressor VAL1(HSI2)
P51954	18004	Mus musculus	NIMA (never in mitosis gene a)-related expressed kinase 1(Nek1)
Q3UU96	226751	Mus musculus	CDC42 binding protein kinase alpha(Cdc42bpa)
P51955	4751	Homo sapiens	NIMA related kinase 2(NEK2)
Q9LQQ9	837303	Arabidopsis thaliana	Protein kinase superfamily protein(ATMPK13)
A4SI63	4995272	Aeromonas salmonicida subsp. salmonicida A449	protein translocase subunit SecA(secA)
Q8U9T8	1135511	Agrobacterium fabrum str. C58	30S ribosomal protein S21(rpsU)
Q969T7	115024	Homo sapiens	5'-nucleotidase, cytosolic IIIB(NT5C3B)
Q969T9	23558	Homo sapiens	WW domain binding protein 2(WBP2)
Q9LQQ2	837289	Arabidopsis thaliana	DNA repair RAD51-like protein(RAD51D)
E1BNG3	538416	Bos taurus	activating signal cointegrator 1 complex subunit 3(ASCC3)
Q9LQQ1	837288	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G07740)
Q3KNA1	243979	Mus musculus	MAS-related GPR, member B2(Mrgprb2)
Q72BL2	2795884	Desulfovibrio vulgaris str. Hildenborough	CTP synthase(pyrG)
Q10028	191641	Caenorhabditis elegans	Receptor-type guanylate cyclase gcy-3(gcy-3)
Q16P87	5575262	Aedes aegypti	AAEL011727-PA(MOCO2_AEDAE)
Q1E1H4	4563211	Coccidioides immitis RS	stress response protein NST1(CIMG_03589)
Q6NW59	406514	Danio rerio	activating transcription factor 4a(atf4a)
Q10029	191640	Caenorhabditis elegans	Receptor-type guanylate cyclase gcy-2(gcy-2)
F4K0A6	835516	Arabidopsis thaliana	myosin 2(ATM2)
Q10022	174071	Caenorhabditis elegans	hypothetical protein(T28D9.3)
Q10024	174068	Caenorhabditis elegans	Putative diacylglycerol kinase K06A1.6(dgk-5)
Q5B2V1	2871415	Aspergillus nidulans FGSC A4	HS70_TRIRU Heat shock 70 kDa protein(AN5129.2)
Q10025	174069	Caenorhabditis elegans	Degenerin-like protein del-10(del-10)
Q8W4E7	832740	Arabidopsis thaliana	iron-regulated protein 3(IREG3)
Q8W4E6	832598	Arabidopsis thaliana	Hyp O-arabinosyltransferase-like protein(AT5G25265)
P48360	851982	Saccharomyces cerevisiae S288c	NADPH-adrenodoxin reductase(ARH1)
Q0D2K0	348938	Homo sapiens	NIPA like domain containing 4(NIPAL4)
Q9NWZ5	54963	Homo sapiens	uridine-cytidine kinase 1 like 1(UCKL1)
Q9FJX8	836794	Arabidopsis thaliana	DA1-related protein 6(DAR6)
Q9FJX9	836793	Arabidopsis thaliana	DA1-related protein 7(DAR7)
Q0D2K2	377007	Homo sapiens	kelch like family member 30(KLHL30)
Q9NWZ3	51135	Homo sapiens	interleukin 1 receptor associated kinase 4(IRAK4)
Q5R6H3	100173537	Pongo abelii	DnaJ heat shock protein family (Hsp40) member B14(DNAJB14)
Q91VU6	28199	Mus musculus	DDB1 and CUL4 associated factor 11(Dcaf11)
P48363	852969	Saccharomyces cerevisiae S288c	tubulin-binding prefolding complex subunit PAC10(PAC10)
Q91W67	69459	Mus musculus	ubiquitin-like 7 (bone marrow stromal cell-derived)(Ubl7)
P12265	110006	Mus musculus	glucuronidase, beta(Gusb)
Q9V8M2	37163	Drosophila melanogaster	CG15077 gene product from transcript CG15077-RA(Cyp12b2)
O78489	857051	Guillardia theta	translation initiation factor 2(infB)
Q6QBQ4	360549	Rattus norvegicus	phospholipid scramblase 3(Plscr3)
P12270	7175	Homo sapiens	translocated promoter region, nuclear basket protein(TPR)
Q5I0X7	130502	Homo sapiens	tetratricopeptide repeat domain 32(TTC32)
O13988	2542703	Schizosaccharomyces pombe 972h-	telomere end-binding protein Pot1(pot1)
Q6D5N6	2884760	Pectobacterium atrosepticum SCRI1043	FMN-dependent NADH-azoreductase(ECA_RS09890)
P48359	801570	Cyanophora paradoxa	putative OmpR transcriptional regulator(ycf29)
O13987	2542701	Schizosaccharomyces pombe 972h-	IPT/TIG ankyrin repeat containing transcription regulator of fatty acid biosynthesis (predicted)(SPAC26H5.05)
P48356	16847	Mus musculus	leptin receptor(Lepr)
P48357	3953	Homo sapiens	leptin receptor(LEPR)
B0W3H3	6032701	Culex quinquefasciatus	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B(CpipJ_CPIJ001717)
Q9FJW5	836894	Arabidopsis thaliana	Homeodomain-like/winged-helix DNA-binding family protein(TRB2)
G5E8K6	217316	Mus musculus	solute carrier family 16 (monocarboxylic acid transporters), member 5(Slc16a5)
Q92874	1775	Homo sapiens	deoxyribonuclease 1 like 2(DNASE1L2)
Q9NWY4	54969	Homo sapiens	histone PARylation factor 1(HPF1)
Q92878	10111	Homo sapiens	RAD50 double strand break repair protein(RAD50)
Q9FK88	832312	Arabidopsis thaliana	alkaline/neutral invertase(INV-E)
G5E8K5	11735	Mus musculus	ankyrin 3, epithelial(Ank3)
P12255	2667059	Bordetella pertussis Tohama I	filamentous hemagglutinin/adhesin(fhaB)
P12259	2153	Homo sapiens	coagulation factor V(F5)
Q9K1G0	902301	Neisseria meningitidis MC58	tRNA uridine 5-carboxymethylaminomethyl modification protein GidA(gidA)
O13979	2542717	Schizosaccharomyces pombe 972h-	ubiquitin-fold modifier-specific protease (predicted)(mug105)
P12263	397339	Sus scrofa	coagulation factor VIII(F8)
O07497	1194989	Borrelia burgdorferi B31	protein translocase subunit SecA(secA)
Q8I659	812753	Plasmodium falciparum 3D7	conserved Plasmodium protein(PFB0765w)
Q5B2X8	2871397	Aspergillus nidulans FGSC A4	hypothetical protein(AN5102.2)
Q8W4F1	816141	Arabidopsis thaliana	purple acid phosphatase 10(PAP10)
Q9DGB6	769014	Gallus gallus	toll-like receptor 2 family member B(TLR2B)
Q8W4G6	828422	Arabidopsis thaliana	cysteine-rich RECEPTOR-like kinase(CRK15)
F1S584	100524730	Sus scrofa	solute carrier family 44 member 2(SLC44A2)
Q91W86	71732	Mus musculus	VPS11, CORVET/HOPS core subunit(Vps11)
Q8PW87	1480051	Methanosarcina mazei Go1	riboflavin kinase(MM_RS08865)
Q92887	1244	Homo sapiens	ATP binding cassette subfamily C member 2(ABCC2)
Q92889	2072	Homo sapiens	ERCC excision repair 4, endonuclease catalytic subunit(ERCC4)
Q91W89	73744	Mus musculus	mannosidase, alpha, class 2C, member 1(Man2c1)
Q5R6J7	100173520	Pongo abelii	glycerol-3-phosphate acyltransferase 4(GPAT4)
Q6NVG1	99010	Mus musculus	lysophosphatidylcholine acyltransferase 4(Lpcat4)
Q91VW5	54214	Mus musculus	golgi autoantigen, golgin subfamily a, 4(Golga4)
A3KFU9	242748	Mus musculus	patched domain containing 2(Ptchd2)
P75408	876791	Mycoplasma pneumoniae M129	hypothetical protein(MPN373)
Q6NVG5	381269	Mus musculus	melanoregulin(Mreg)
Q65K51	3030790	Bacillus licheniformis DSM 13 = ATCC 14580	adenine deaminase(TRNA_RS29765)
Q56P03	55837	Homo sapiens	E2F associated phosphoprotein(EAPP)
P12246	20219	Mus musculus	serum amyloid P-component(Apcs)
Q65JS9	3030946	Bacillus licheniformis DSM 13 = ATCC 14580	DNA-directed RNA polymerase subunit omega(TRNA_RS30360)
Q93MW7	23505042	Streptomyces rimosus	lipase(DF17_RS10095)
Q4X251	3513639	Aspergillus fumigatus Af293	palmitoyltransferase SidR(AFUA_2G07670)
P75411	876868	Mycoplasma pneumoniae M129	adhesin P1 family protein(MPN370)
Q91W97	216019	Mus musculus	hexokinase domain containing 1(Hkdc1)
Q65JU6	3030925	Bacillus licheniformis DSM 13 = ATCC 14580	dihydroorotate dehydrogenase(TRNA_RS30280)
Q0UP45	5973718	Parastagonospora nodorum SN15	hypothetical protein(SNOG_06469)
Q91W98	100561	Mus musculus	solute carrier family 15, member 4(Slc15a4)
Q0D2L3	298607	Rattus norvegicus	agmatinase(Agmat)
Q9FJY7	836784	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G66520)
Q0V147	5969731	Parastagonospora nodorum SN15	hypothetical protein(SNOG_02267)
Q91W96	52206	Mus musculus	anaphase promoting complex subunit 4(Anapc4)
Q92896	2734	Homo sapiens	golgi glycoprotein 1(GLG1)
Q6A969	2931485	Propionibacterium acnes KPA171202	DNA repair protein RecO(PPA_RS04765)
Q9SMH5	5722214	Chlamydomonas reinhardtii	cytoplasmic dynein 1b heavy chain(DHC1b)
A3KG59	242377	Mus musculus	peptidase M20 domain containing 2(Pm20d2)
Q92890	7353	Homo sapiens	ubiquitin fusion degradation 1 like (yeast)(UFD1L)
Q8PW90	1480048	Methanosarcina mazei Go1	fibrillarin-like rRNA methylase(MM_RS08850)
Q91W90	105245	Mus musculus	thioredoxin domain containing 5(Txndc5)
O13993	2542687	Schizosaccharomyces pombe 972h-	mitochondrial RNA polymerase Rpo41(rpo41)
Q8I5R7	811187	Plasmodium falciparum 3D7	bifunctional aminoacyl-tRNA synthetase, putative(PFL0670c)
O13997	2541824	Schizosaccharomyces pombe 972h-	hypothetical protein(SPAC27E2.02)
P75425	876926	Mycoplasma pneumoniae M129	glycine--tRNA ligase(grs1)
Q0D2G3	505854	Bos taurus	transmembrane protein 254(TMEM254)
P75424	876924	Mycoplasma pneumoniae M129	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB(yacO)
Q56P28	595127	Sus scrofa	ADP ribosylation factor like GTPase 6 interacting protein 5(ARL6IP5)
O78441	856984	Guillardia theta	preprotein translocase subunit SecA(secA)
Q10099	2541682	Schizosaccharomyces pombe 972h-	nucleoporin Seh1(seh1)
Q9FJT1	835784	Arabidopsis thaliana	F-box/RNI-like/FBD-like domains-containing protein(AT5G56820)
G5E8F4	75540	Mus musculus	fucose-1-phosphate guanylyltransferase(Fpgt)
E2AX35	105256978	Camponotus floridanus	prohormone-4(LOC105256978)
Q9NX74	54920	Homo sapiens	dihydrouridine synthase 2(DUS2)
Q9NWV4	54987	Homo sapiens	chromosome 1 open reading frame 123(C1orf123)
Q8NLK2	1020882	Corynebacterium glutamicum ATCC 13032	inner membrane protein translocase YidC(NCgl2839)
Q7XSA2	9270411	Oryza sativa Japonica Group	protein argonaute 1B(LOC9270411)
P75421	876901	Mycoplasma pneumoniae M129	hypothetical protein(MPN359)
Q5R6L5	100173509	Pongo abelii	cullin associated and neddylation dissociated 1(CAND1)
Q91W20	227618	Mus musculus	leucine rich repeat containing 26(Lrrc26)
P06739	7701381	Escherichia coli	hemolysin transport protein(hlyD)
Q92823	4897	Homo sapiens	neuronal cell adhesion molecule(NRCAM)
P06738	856289	Saccharomyces cerevisiae S288c	glycogen phosphorylase(GPH1)
A8K0R7	55778	Homo sapiens	zinc finger protein 839(ZNF839)
Q9FJT8	835775	Arabidopsis thaliana	histone acetyltransferase of the GNAT family 2(HAG2)
Q92824	5125	Homo sapiens	proprotein convertase subtilisin/kexin type 5(PCSK5)
Q9FJT9	835774	Arabidopsis thaliana	Insulinase (Peptidase family M16) protein(AT5G56730)
Q8G3I2	1022079	Bifidobacterium longum NCC2705	ileS(ileS)
Q5R6L3	100173511	Pongo abelii	DNA ligase 4(LIG4)
Q9DFZ4	373819	Xenopus laevis	churchill domain containing 1 S homeolog(churc1.S)
E1BNQ4	613996	Bos taurus	NAD(P)HX dehydratase(NAXD)
Q9SMC4	543753	Solanum lycopersicum	dad-1 protein(DAD1)
O78450	857005	Guillardia theta	CbbX(cbbX)
Q1KXP6	4055602	Helianthus annuus	Ycf2(ycf2)
